Symbol,Date,Open,High,Low,Close,Percent Change,Volume
HBL,11/14/2024,261.1,263,250,262,0.0234,"125,488.00"
HBL,11/13/2024,258,261.9,255,256,-0.0229,"41,799.00"
HBL,11/12/2024,261.2,266,259,262,0.0042,"62,438.00"
HBL,11/11/2024,259,267,257.1,260.9,0.0073,"97,224.00"
HBL,11/10/2024,255,259,252,259,0.0319,"88,527.00"
HBL,11/6/2024,256,256,250,251,-0.004,"45,315.00"
HBL,11/5/2024,252,258,250,252,-0.004,"36,012.00"
HBL,10/30/2024,261,261,252.1,253,-0.0121,"42,818.00"
HBL,10/29/2024,253.9,257,251,256.1,0.0285,"92,277.00"
HBL,10/28/2024,255,255,248,249,-0.004,"81,412.00"
HBL,10/27/2024,258,258,247,250,-0.0157,"74,606.00"
HBL,10/24/2024,264.9,264.9,252.4,254,-0.0302,"79,229.00"
HBL,10/23/2024,267.6,270.5,259.5,261.9,-0.0407,"188,103.00"
HBL,10/22/2024,265,274,264.1,273,0.0225,"84,499.00"
HBL,10/21/2024,274,274.9,266,267,-0.0291,"96,297.00"
HBL,10/20/2024,275,286,270.2,275,-0.0136,"214,843.00"
HBL,10/17/2024,282.5,284.5,271,278.8,0.0065,"196,132.00"
HBL,10/16/2024,279.4,280,273.5,277,0.0109,"95,074.00"
HBL,10/15/2024,261,274,261,274,0.0478,"83,124.00"
HBL,10/9/2024,252.7,262,252.7,261.5,0.0151,"44,262.00"
HBL,10/8/2024,260,264.8,256,257.6,-0.0088,"60,120.00"
HBL,10/7/2024,257,263,257,259.9,0.0113,"99,084.00"
HBL,10/6/2024,250,257.4,248,257,0.028,"60,056.00"
HBL,10/2/2024,259,259,246.2,250,-0.0181,"69,748.00"
HBL,10/1/2024,247.1,255,244.2,254.6,0.0392,"146,838.00"
HBL,9/30/2024,240,245,240,245,0.0208,"43,206.00"
HBL,9/29/2024,244,245,239.3,240,-0.0074,"46,758.00"
HBL,9/26/2024,246,249.8,239.3,241.8,-0.0171,"49,182.00"
HBL,9/25/2024,242,246.8,238,246,0.0165,"97,519.00"
HBL,9/24/2024,243.5,248.2,239,242,-0.0122,"72,513.00"
HBL,9/23/2024,251.9,251.9,242,245,-0.0081,"99,561.00"
HBL,9/22/2024,240,249,240,247,0.0292,"72,775.00"
HBL,9/18/2024,244,247,238.6,240,-0.0025,"131,212.00"
HBL,9/16/2024,245,248,240.1,240.6,-0.0259,"59,798.00"
HBL,9/15/2024,253,258,246.3,247,-0.0171,"107,738.00"
HBL,9/12/2024,250.8,251.4,242.2,251.3,0.022,"69,379.00"
HBL,9/11/2024,246,249,242.2,245.9,-0.0004,"67,152.00"
HBL,9/10/2024,250,255,244,246,-0.0152,"92,420.00"
HBL,9/9/2024,251,254,242.5,249.8,-0.0048,"122,679.00"
HBL,9/8/2024,263.1,265.9,250,251,-0.0271,"113,480.00"
HBL,9/5/2024,259.5,266.3,248,258,0.0039,"148,034.00"
HBL,9/4/2024,275,275,246.9,257,-0.0481,"157,253.00"
HBL,9/3/2024,275,280,265.1,270,-0.0074,"105,689.00"
HBL,9/2/2024,259,273.3,250.1,272,0.0704,"205,405.00"
HBL,9/1/2024,256,271.3,254,254.1,-0.0264,"126,122.00"
HBL,8/29/2024,272,272,256,261,-0.0225,"101,801.00"
HBL,8/28/2024,272,283,261.7,267,0,"173,325.00"
HBL,8/27/2024,281,281,266.1,267,-0.0674,"306,650.00"
HBL,8/25/2024,303,303,285,286.3,-0.0457,"265,181.00"
HBL,8/22/2024,307,310,294.5,300,-0.0066,"265,872.00"
HBL,8/21/2024,304,310,288,302,0.0107,"425,259.00"
HBL,8/18/2024,289,312.1,289,298.8,0.0339,"638,621.00"
HBL,8/15/2024,266.9,293.5,266.9,289,0.0828,"584,117.00"
HBL,8/14/2024,266,267,258,266.9,0.0034,"158,425.00"
HBL,8/13/2024,270,271,261,266,-0.0004,"186,361.00"
HBL,8/12/2024,262,272.3,262,266.1,0.033,"251,891.00"
HBL,8/11/2024,246,260,242,257.6,0.0645,"260,303.00"
HBL,8/8/2024,247,251.9,241,242,-0.0041,"138,115.00"
HBL,8/7/2024,240,247,233,243,0.0284,"143,516.00"
HBL,8/6/2024,259.9,260,235.5,236.3,-0.0912,"275,813.00"
HBL,8/5/2024,270,272,257.8,260,-0.0226,"299,670.00"
HBL,8/1/2024,275,276,264,266,-0.0221,"169,849.00"
HBL,7/31/2024,269.8,276,266,272,0.0074,"185,777.00"
HBL,7/30/2024,275,276,260,270,-0.0217,"265,681.00"
HBL,7/29/2024,284.3,299,273,276,-0.01,"403,882.00"
HBL,7/28/2024,258.5,278.8,258.5,278.8,0.0998,"401,317.00"
HBL,7/25/2024,250,254.5,241,253.5,0.0181,"257,789.00"
HBL,7/24/2024,259,259,244.7,249,-0.0197,"177,199.00"
HBL,7/23/2024,250,255,245.1,254,0.0079,"255,069.00"
HBL,7/22/2024,253,262,244,252,0.0125,"385,243.00"
HBL,7/21/2024,230,248.9,225.4,248.9,0.0999,"340,632.00"
HBL,7/18/2024,215,232.1,212.2,226.3,0.0725,"330,463.00"
HBL,7/17/2024,213,213.4,207.8,211,0.0072,"92,701.00"
HBL,7/16/2024,204,210.1,203,209.5,0.026,"63,008.00"
HBL,7/15/2024,215.2,215.2,203.9,204.2,-0.0322,"101,206.00"
HBL,7/14/2024,205.6,212,203,211,0.0466,"81,778.00"
HBL,7/11/2024,194.8,201.7,191,201.6,0.0555,"95,935.00"
HBL,7/10/2024,189.8,191,186.4,191,0.0263,"61,431.00"
